judge,category,n,A,B,best,best_mean,delta,ci_lo,ci_hi,danger_B
deepseek,"Airway, Choking & Drowning",4,1.25,2.5,C_FINETUNED_8BIT,2.75,1.25,0.0,2.5,2
deepseek,"Bites, Stings & Envenomation",3,1.3333333333333333,2.3333333333333335,B_FINETUNED_4BIT,2.3333333333333335,1,1.0,1.0,1
deepseek,Bleeding & Wounds,7,1.1428571428571428,1.8571428571428572,C_FINETUNED_8BIT,2.142857142857143,0.7142857142857143,-0.14285714285714285,1.7142857142857142,3
deepseek,Burns & Environmental Emergencies,3,0.6666666666666666,2.6666666666666665,D_T4_IMPROVED,3,2,1.0,3.0,0
deepseek,Cardiac & Resuscitation,6,1.1666666666666667,2,F_RAG_BM25,2.5,0.8333333333333334,-0.5,2.0,0
deepseek,Minor Injuries & General First Aid,6,1.5,2,F_RAG_BM25,2.6666666666666665,0.5,-0.3333333333333333,1.3333333333333333,0
deepseek,Neurological & Altered Consciousness,4,1.75,2,D_T4_IMPROVED,3,0.25,0.0,0.75,0
deepseek,"Poisoning, Overdose & Toxic Exposure",2,1,3.5,B_FINETUNED_4BIT,3.5,2.5,2.0,3.0,0
deepseek,Spinal Injuries & Patient Movement,1,1,2,C_FINETUNED_8BIT,3,1,1.0,1.0,1
deepseek,Trauma & Musculoskeletal,5,1,2.6,C_FINETUNED_8BIT,2.8,1.6,0.6,2.8,0
claude_or,"Airway, Choking & Drowning",4,0.5,2,D_T4_IMPROVED,2.25,1.5,-0.5,3.5,2
claude_or,"Bites, Stings & Envenomation",3,0.3333333333333333,2.3333333333333335,B_FINETUNED_4BIT,2.3333333333333335,2,2.0,2.0,0
claude_or,Bleeding & Wounds,7,0.8571428571428571,1.8571428571428572,C_FINETUNED_8BIT,2,1,0.0,2.0,3
claude_or,Burns & Environmental Emergencies,3,0.6666666666666666,2.6666666666666665,D_T4_IMPROVED,3,2,1.0,3.0,0
claude_or,Cardiac & Resuscitation,6,1,2,F_RAG_BM25,2.3333333333333335,1,-0.3333333333333333,1.8333333333333333,0
claude_or,Minor Injuries & General First Aid,6,1.1666666666666667,1.8333333333333333,F_RAG_BM25,2.6666666666666665,0.6666666666666666,-0.16666666666666666,1.6666666666666667,1
claude_or,Neurological & Altered Consciousness,4,1.25,2,C_FINETUNED_8BIT,2.75,0.75,0.25,1.0,0
claude_or,"Poisoning, Overdose & Toxic Exposure",2,1.5,3.5,B_FINETUNED_4BIT,3.5,2,1.0,3.0,0
claude_or,Spinal Injuries & Patient Movement,1,0,3,B_FINETUNED_4BIT,3,3,3.0,3.0,1
claude_or,Trauma & Musculoskeletal,5,1,3,D_T4_IMPROVED,3.2,2,1.2,3.0,0
gpt_ar,"Airway, Choking & Drowning",4,1,2,E_T6_IMPROVED,2.5,1,-0.5,3.0,2
gpt_ar,"Bites, Stings & Envenomation",3,1.3333333333333333,2,F_RAG_BM25,2.3333333333333335,0.6666666666666666,0.0,1.0,1
gpt_ar,Bleeding & Wounds,7,1.7142857142857142,2.2857142857142856,F_RAG_BM25,2.4285714285714284,0.5714285714285714,-0.2857142857142857,1.4285714285714286,3
gpt_ar,Burns & Environmental Emergencies,3,1.3333333333333333,2.6666666666666665,D_T4_IMPROVED,3,1.3333333333333333,0.0,3.0,0
gpt_ar,Cardiac & Resuscitation,6,1,2,F_RAG_BM25,2.8333333333333335,1,0.3333333333333333,1.6666666666666667,0
gpt_ar,Minor Injuries & General First Aid,6,1.3333333333333333,2,F_RAG_BM25,2.8333333333333335,0.6666666666666666,0.16666666666666666,1.3333333333333333,2
gpt_ar,Neurological & Altered Consciousness,4,2,2,D_T4_IMPROVED,2.75,0,-0.75,0.75,0
gpt_ar,"Poisoning, Overdose & Toxic Exposure",2,1.5,3,B_FINETUNED_4BIT,3,1.5,1.0,2.0,0
gpt_ar,Spinal Injuries & Patient Movement,1,1,3,B_FINETUNED_4BIT,3,2,2.0,2.0,1
gpt_ar,Trauma & Musculoskeletal,5,1.6,3.2,B_FINETUNED_4BIT,3.2,1.6,1.2,2.0,0
glm_ar,"Airway, Choking & Drowning",4,1.5,2,C_FINETUNED_8BIT,2.75,0.5,-1.0,2.0,1
glm_ar,"Bites, Stings & Envenomation",3,1.3333333333333333,2.3333333333333335,B_FINETUNED_4BIT,2.3333333333333335,1,1.0,1.0,0
glm_ar,Bleeding & Wounds,7,1.4285714285714286,2.142857142857143,D_T4_IMPROVED,2.5714285714285716,0.7142857142857143,-0.42857142857142855,1.7142857142857142,2
glm_ar,Burns & Environmental Emergencies,3,1.6666666666666667,3,B_FINETUNED_4BIT,3,1.3333333333333333,1.0,2.0,0
glm_ar,Cardiac & Resuscitation,6,1.6666666666666667,2.3333333333333335,F_RAG_BM25,2.8333333333333335,0.6666666666666666,-0.5,1.6666666666666667,0
glm_ar,Minor Injuries & General First Aid,6,1.5,2.6666666666666665,B_FINETUNED_4BIT,2.6666666666666665,1.1666666666666667,0.3333333333333333,2.0,0
glm_ar,Neurological & Altered Consciousness,4,1.5,2,C_FINETUNED_8BIT,2.75,0.5,0.0,1.0,0
glm_ar,"Poisoning, Overdose & Toxic Exposure",2,1.5,3.5,B_FINETUNED_4BIT,3.5,2,1.0,3.0,0
glm_ar,Spinal Injuries & Patient Movement,1,2,3,B_FINETUNED_4BIT,3,1,1.0,1.0,1
glm_ar,Trauma & Musculoskeletal,5,1.4,3.6,B_FINETUNED_4BIT,3.6,2.2,1.4,3.2,0
