judge,name,n,mean,median,ci_lo,ci_hi,dz,wins,losses,ties,p,min_p_at_observed_ties,holm8_p
deepseek,F−B overall,41,0.2682926829268293,0,0.0,0.5365853658536586,0.29079574218549464,16,7,18,0.0931396484375,2.384185791015625e-07,0.4656982421875
deepseek,F−B SC,11,0.36363636363636365,0,-0.09090909090909091,1.0,0.35410711589825555,3,1,7,0.625,0.125,1
deepseek,B−A overall,41,1.024390243902439,1,0.6341463414634146,1.4146341463414633,0.8037486332952988,26,3,12,1.5236437320709229e-05,3.725290298461914e-09,0.0001066550612449646
deepseek,E−B overall,41,-0.07317073170731707,0,-0.2682926829268293,0.12195121951219512,-0.11297051352319701,6,8,27,0.79052734375,0.0001220703125,1
deepseek,C−B overall,41,0.0975609756097561,0,-0.1951219512195122,0.3902439024390244,0.10340025998735557,11,8,22,0.6476058959960938,3.814697265625e-06,1
deepseek,G−B overall,41,-0.8780487804878049,-1,-1.2195121951219512,-0.5609756097560976,-0.7983066263716534,3,24,14,4.9233436584472656e-05,1.4901161193847656e-08,0.00029540061950683594
deepseek,G−F overall,41,-1.146341463414634,-1,-1.4634146341463414,-0.8536585365853658,-1.130595207255342,1,30,10,2.9802322387695312e-08,9.313225746154785e-10,2.384185791015625e-07
deepseek,D−B overall,41,0.04878048780487805,0,-0.1951219512195122,0.2926829268292683,0.06061858640150407,7,5,29,0.7744140625,0.00048828125,1
deepseek,B-A sc,11,0.7272727272727273,1,-0.09090909090909091,1.4545454545454546,0.5393598899705937,6,1,4,0.125,0.015625,
deepseek,B-A nonsc,30,1.1333333333333333,1.0,0.7,1.5666666666666667,0.9051282157788599,20,2,8,0.00012111663818359375,4.76837158203125e-07,
claude_or,F−B overall,41,0.17073170731707318,0,-0.07317073170731707,0.43902439024390244,0.19778825749422715,14,8,19,0.28627872467041016,4.76837158203125e-07,1
claude_or,F−B SC,11,0.09090909090909091,0,-0.45454545454545453,0.6363636363636364,0.08703882797784893,3,2,6,1,0.0625,1
claude_or,B−A overall,41,1.3414634146341464,1,0.926829268292683,1.7560975609756098,0.978235844323362,31,4,6,3.4654513001441956e-06,5.820766091346741e-11,2.0792707800865173e-05
claude_or,E−B overall,41,-0.04878048780487805,0,-0.1951219512195122,0.07317073170731707,-0.1097477329610655,2,3,36,1,0.0625,1
claude_or,C−B overall,41,-0.04878048780487805,0,-0.2926829268292683,0.21951219512195122,-0.0564186679070825,9,12,20,0.6636238098144531,9.5367431640625e-07,1
claude_or,G−B overall,41,-1.2926829268292683,-1,-1.6829268292682926,-0.9024390243902439,-1.0180830606267433,4,33,4,1.0843941709026694e-06,1.4551915228366852e-11,7.590759196318686e-06
claude_or,G−F overall,41,-1.4634146341463414,-2,-1.7804878048780488,-1.146341463414634,-1.3922275419882524,3,34,4,1.233129296451807e-07,1.4551915228366852e-11,9.865034371614456e-07
claude_or,D−B overall,41,0.024390243902439025,0,-0.21951219512195122,0.2682926829268293,0.030866549895299678,8,6,27,0.79052734375,0.0001220703125,1
claude_or,B-A sc,11,1.0909090909090908,1,0.18181818181818182,1.9090909090909092,0.6912093783924694,8,2,1,0.109375,0.001953125,
claude_or,B-A nonsc,30,1.4333333333333333,1.0,0.9666666666666667,1.9,1.0985739533766434,23,2,5,1.9431114196777344e-05,5.960464477539063e-08,
gpt_ar,F−B overall,41,0.2682926829268293,0,0.0,0.5365853658536586,0.2997319711958154,14,6,21,0.11531829833984375,1.9073486328125e-06,0.5765914916992188
gpt_ar,F−B SC,11,0.2727272727272727,0,-0.09090909090909091,0.6363636363636364,0.42174116783664994,4,1,6,0.375,0.0625,1
gpt_ar,B−A overall,41,0.9024390243902439,1,0.5853658536585366,1.2439024390243902,0.8103344770215167,26,4,11,5.947612226009369e-05,1.862645149230957e-09,0.0004163328558206558
gpt_ar,E−B overall,41,0.024390243902439025,0,-0.21951219512195122,0.24390243902439024,0.03218196927784848,10,7,24,0.629058837890625,1.52587890625e-05,1
gpt_ar,C−B overall,41,-0.04878048780487805,0,-0.3170731707317073,0.21951219512195122,-0.05462157150515579,10,10,21,1,1.9073486328125e-06,1
gpt_ar,G−B overall,41,-0.6829268292682927,-1,-1.0731707317073171,-0.2926829268292683,-0.5446965720627829,6,22,13,0.0037191659212112427,7.450580596923828e-09,0.022314995527267456
gpt_ar,G−F overall,41,-0.9512195121951219,-1,-1.2682926829268293,-0.6341463414634146,-0.9079593845004515,3,29,9,2.5560148060321808e-06,4.656612873077393e-10,2.0448118448257446e-05
gpt_ar,D−B overall,41,0,0,-0.21951219512195122,0.21951219512195122,0.0,7,7,27,1,0.0001220703125,1
gpt_ar,B-A sc,11,0.8181818181818182,0,0.2727272727272727,1.4545454545454546,0.7584748452711474,5,0,6,0.0625,0.0625,
